School ID,Name of School,"Elementary, Middle, or High School",Street Address,City,State,ZIP Code,Network Manager,Collaborative Name,Safety Score,Family Involvement Score,Environment Score,Instruction Score,Leaders Score ,Teachers Score,Parent Engagement Score,Parent Environment Score,Average Student Attendance,Rate of Misconducts (per 100 students),Average Teacher Attendance,College Eligibility %,Graduation Rate %,College Enrollment Rate %,College Enrollment,Community Area Name
610264,Walter Reed Elementary School,ES,6350 S Stewart Ave ,Chicago,IL,60621,Englewood-Gresham Elementary Network,SOUTHWEST SIDE COLLABORATIVE,29,,62,68,,,47,51,0.924,75.5,0.932,,,,44,ENGLEWOOD
609855,Walter S Christopher Elementary School,ES,5042 S Artesian Ave ,Chicago,IL,60632,Midway Elementary Network,SOUTHWEST SIDE COLLABORATIVE,,48,,,72,64,52,53,0.861,4,0.941,,,,279,GAGE PARK
610179,Washington D Smyser Elementary School,ES,4310 N Melvina Ave ,Chicago,IL,60634,O'Hare Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,55,,43,45,,,,,0.955,4.9,0.972,,,,1047,PORTAGE PARK
610121,Washington Irving Elementary School,ES,749 S Oakley Blvd ,Chicago,IL,60612,Fulton Elementary Network,WEST SIDE COLLABORATIVE,43,,34,44,,,48,49,0.956,15.1,0.959,,,,482,NEAR WEST SIDE
609740,Wells Community Academy High School,HS,936 N Ashland Ave ,Chicago,IL,60622,West Side High School Network,WEST SIDE COLLABORATIVE,51,49,41,38,65,49,,,0.741,16.9,0.962,7.2,59.3,43.8,633,WEST TOWN
610032,Wendell E Green Elementary School,ES,1150 W 96th St ,Chicago,IL,60643,Rock Island Elementary Network,FAR SOUTH SIDE COLLABORATIVE,32,,47,53,,,53,47,0.939,20.1,0.957,,,,254,WASHINGTON HEIGHTS
609727,Wendell Phillips Academy High School,HS,244 E Pershing Rd ,Chicago,IL,60653,AUSL Schools,SOUTH SIDE COLLABORATIVE,,71,,,80,79,,,0.63,22,0.961,2.5,40.3,42.6,590,DOUGLAS
609978,Wendell Smith Elementary School,ES,744 E 103rd St ,Chicago,IL,60628,Lake Calumet Elementary Network,FAR SOUTH SIDE COLLABORATIVE,22,24,1,1,31,29,42,46,0.921,90,0.941,,,,363,PULLMAN
610100,West Park Elementary Academy,ES,1425 N Tripp Ave ,Chicago,IL,60651,Garfield-Humboldt Elementary Network,WEST SIDE COLLABORATIVE,29,,36,40,,,46,47,0.937,16.3,0.967,,,,686,HUMBOLDT PARK
610224,West Pullman Elementary School,ES,11941 S Parnell Ave ,Chicago,IL,60628,Lake Calumet Elementary Network,FAR SOUTH SIDE COLLABORATIVE,23,46,55,47,57,50,47,44,0.912,7.6,0.938,,,,343,WEST PULLMAN
610542,West Ridge Elementary School,ES,6700 N Whipple St ,Chicago,IL,60645,Ravenswood-Ridge Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,67,,41,28,,,46,58,0.949,6.8,0,,,,659,WEST RIDGE
609755,Whitney M Young Magnet High School,HS,211 S Laflin St ,Chicago,IL,60607,West Side High School Network,WEST SIDE COLLABORATIVE,95,80,69,67,52,46,53,50,0.946,1.2,0.949,89,93.9,88.3,2166,NEAR WEST SIDE
610230,Wildwood Elementary School,ES,6950 N Hiawatha Ave ,Chicago,IL,60646,O'Hare Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,99,90,77,67,55,45,55,37,0.962,1,0.957,,,,414,FOREST GLEN
610251,Willa Cather Elementary School,ES,2908 W Washington Blvd ,Chicago,IL,60612,Garfield-Humboldt Elementary Network,WEST SIDE COLLABORATIVE,69,70,78,81,62,83,56,53,0.949,29.5,0.964,,,,234,EAST GARFIELD PARK
610299,William A Hinton Elementary School,ES,644 W 71st St ,Chicago,IL,60621,Englewood-Gresham Elementary Network,SOUTHWEST SIDE COLLABORATIVE,18,,30,29,,,45,50,0.917,28.9,0.951,,,,321,ENGLEWOOD
610109,William Bishop Owen Scholastic Academy Elementary School,ES,8247 S Christiana Ave ,Chicago,IL,60652,Midway Elementary Network,SOUTHWEST SIDE COLLABORATIVE,49,61,39,56,51,47,58,53,0.969,1.2,0.95,,,,243,ASHBURN
610101,William B Ogden Elementary School,ES,24 W Walton St ,Chicago,IL,60610,Fullerton Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,,,,,,,,,0.951,4.5,0.97,,,,722,NEAR NORTH SIDE
609945,William C Goudy Elementary School,ES,5120 N Winthrop Ave ,Chicago,IL,60640,Ravenswood-Ridge Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,70,52,74,61,65,52,,,0.961,6,0.958,,,,805,UPTOWN
610143,William C Reavis Math & Science Specialty Elementary School,ES,834 E 50th St ,Chicago,IL,60615,Burnham Park Elementary Network,SOUTH SIDE COLLABORATIVE,48,6,37,26,10,15,45,47,0.935,37.2,0.948,,,,311,KENWOOD
610364,William E B Dubois Elementary School,ES,330 E 133rd St ,Chicago,IL,60827,Lake Calumet Elementary Network,FAR SOUTH SIDE COLLABORATIVE,47,,33,42,,,50,45,0.933,48.5,0.944,,,,184,RIVERDALE
609884,William E Dever Elementary School,ES,3436 N Osceola Ave ,Chicago,IL,60634,O'Hare Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,67,66,60,78,37,36,50,48,0.955,2.1,0.959,,,,843,DUNNING
609967,William F Finkl Elementary School,ES,2332 S Western Ave ,Chicago,IL,60608,Pilsen-Little Village Elementary Network,WEST SIDE COLLABORATIVE,56,60,50,52,41,56,49,54,0.952,6.7,0.969,,,,588,LOWER WEST SIDE
609994,William G Hibbard Elementary School,ES,3244 W Ainslie St ,Chicago,IL,60625,O'Hare Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,,,,,,,49,50,0.965,3,0.969,,,,1239,ALBANY PARK
609812,William H Brown Elementary School,ES,54 N Hermitage Ave ,Chicago,IL,60612,Fulton Elementary Network,WEST SIDE COLLABORATIVE,36,73,58,78,74,73,46,49,0.928,59,0.947,,,,217,NEAR WEST SIDE
610023,William H King Elementary School,ES,740 S Campbell Ave ,Chicago,IL,60612,Fulton Elementary Network,WEST SIDE COLLABORATIVE,47,,44,47,,,,,0.924,17.7,0.951,,,,264,NEAR WEST SIDE
609734,William Howard Taft High School,HS,6530 W Bryn Mawr Ave ,Chicago,IL,60631,North-Northwest Side High School Network,NORTH-NORTHWEST SIDE COLLABORATIVE,61,,37,32,,,,,0.891,9.8,0.961,32.3,67.4,62.2,2922,NORWOOD PARK
610136,William H Prescott Elementary School,ES,1632 W Wrightwood Ave ,Chicago,IL,60614,Fullerton Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,90,,51,24,,,50,48,0.935,73.9,0.976,,,,240,LINCOLN PARK
610142,William H Ray Elementary School,ES,5631 S Kimbark Ave ,Chicago,IL,60637,Burnham Park Elementary Network,SOUTH SIDE COLLABORATIVE,69,,22,12,,,50,46,0.951,6.7,0.949,,,,654,HYDE PARK
610153,William H Ryder Math & Science Specialty Elementary School,ES,8716 S Wallace St ,Chicago,IL,60620,Englewood-Gresham Elementary Network,SOUTHWEST SIDE COLLABORATIVE,34,,42,50,,,,,0.93,22.5,0.943,,,,302,AUBURN GRESHAM
610167,William H Seward Communication Arts Academy Elementary School,ES,4600 S Hermitage Ave ,Chicago,IL,60609,Pershing Elementary Network,SOUTHWEST SIDE COLLABORATIVE,40,43,38,41,66,63,49,50,0.957,14.4,0.957,,,,896,NEW CITY
609698,William J Bogan High School,HS,3939 W 79th St ,Chicago,IL,60652,Southwest Side High School Network,SOUTHWEST SIDE COLLABORATIVE,20,,18,29,,,41,38,0.752,5.8,0.943,13.1,52.5,50,1656,ASHBURN
610061,William J & Charles H Mayo Elementary School,ES,249 E 37th St ,Chicago,IL,60653,Burnham Park Elementary Network,SOUTH SIDE COLLABORATIVE,52,55,62,65,52,47,50,55,0.953,26,0.952,,,,453,DOUGLAS
