Date,Bullish,Neutral,Bearish,Total,S&P 500 Weekly High,S&P 500 Weekly Low,S&P 500 Weekly Close
5/26/2011,0.2561,0.3297,0.4142,1,1346.82,1336.36,1343.6
5/19/2011,0.2669,0.3202,0.4129,1,1351.05,1333.36,1348.65
5/12/2011,0.3077,0.3373,0.355,1,1359.44,1348.34,1357.16
5/5/2011,0.3546,0.3267,0.3187,1,1370.58,1358.69,1363.61
4/28/2011,0.379,0.3145,0.3065,1,1349.55,1336.75,1347.24
4/21/2011,0.3216,0.3684,0.3099,1,1332.66,1319.12,1330.36
4/14/2011,0.4225,0.2676,0.3099,1,1339.46,1309.19,1314.41
4/7/2011,0.4359,0.2756,0.2885,1,1339.38,1328.89,1335.54
3/31/2011,0.4181,0.2712,0.3107,1,1331.74,1321.89,1328.26
3/24/2011,0.3774,0.2727,0.3497,1,1300.58,1292.7,1298.38
3/17/2011,0.2849,0.3139,0.4012,1,1315.72,1294.21,1304.28
3/10/2011,0.3597,0.3171,0.3232,1,1332.28,1312.59,1321.82
3/3/2011,0.3679,0.3005,0.3316,1,1332.09,1320.55,1327.22
2/24/2011,0.3663,0.2723,0.3614,1,1344.07,1338.12,1343.01
2/17/2011,0.4658,0.2785,0.2557,1,1337.61,1329.51,1336.32
2/10/2011,0.494,0.2369,0.2691,1,1324.87,1316.03,1324.57
2/3/2011,0.5154,0.2159,0.2687,1,1308.86,1275.1,1304.03
1/27/2011,0.4204,0.2367,0.3429,1,1299.74,1291.97,1296.63
1/20/2011,0.5075,0.2015,0.291,1,1296.06,1290.16,1295.02
1/13/2011,0.5234,0.2422,0.2344,1,1286.87,1275.65,1285.96
1/6/2011,0.5588,0.2586,0.1825,1,1277.63,1254.19,1276.56
12/30/2010,0.5161,0.2834,0.2005,1,1262.6,1258.78,1259.78
12/23/2010,0.6328,0.2031,0.164,1,1259.39,1254.94,1258.84
12/16/2010,0.5023,0.2262,0.2715,1,1246.72,1240.34,1241.59
12/9/2010,0.5305,0.2439,0.2256,1,1235.05,1186.6,1228.28
12/2/2010,0.4966,0.2414,0.2621,1,1207.61,1186.93,1206.07
11/25/2010,0.474,0.2792,0.2468,1,1200.29,1198.35,1199.73
11/18/2010,0.4,0.275,0.325,1,1226.84,1173,1223.25
11/11/2010,0.5756,0.1395,0.2849,1,1227.08,1220.29,1225.85
11/4/2010,0.4823,0.2199,0.2979,1,1213.05,1198.34,1197.96
10/28/2010,0.5123,0.2716,0.216,1,1189.53,1184.47,1182.45
10/21/2010,0.4962,0.2519,0.2519,1,1188.52,1179.82,1178.17
10/14/2010,0.471,0.2609,0.2681,1,1177.95,1174.04,1178.1
10/7/2010,0.4903,0.2323,0.2774,1,1163.87,1156.5,1159.97
9/30/2010,0.4253,0.2586,0.3161,1,1157.16,1145.97,1144.73
9/23/2010,0.4497,0.2963,0.254,1,1132.97,1123.46,1134.24
9/16/2010,0.5089,0.2485,0.2426,1,1123.89,1118.9,1125.07
9/9/2010,0.4387,0.2451,0.3161,1,1103.26,1092.36,1091.84
9/2/2010,0.308,0.27,0.4221,1,1086.55,1080.39,1080.29
8/26/2010,0.2074,0.2979,0.4947,1,1060.25,1055.38,1055.33
8/19/2010,0.3011,0.2742,0.4247,1,1092.44,1077.35,1094.16
8/12/2010,0.3976,0.3012,0.3012,1,1083.88,1076.69,1089.47
8/5/2010,0.3039,0.3137,0.3824,1,1124.75,1118.81,1127.24
7/29/2010,0.4,0.2667,0.3333,1,1115.9,1109.63,1106.13
7/22/2010,0.3216,0.2281,0.4503,1,1094.59,1072.14,1069.59
7/15/2010,0.3937,0.2284,0.378,1,1095.17,1080.53,1095.17
7/8/2010,0.2094,0.2199,0.5707,1,1071.25,1062.92,1060.27
7/1/2010,0.2468,0.3333,0.4199,1,1033.58,1021.65,1030.71
6/24/2010,0.3446,0.3311,0.3243,1,1090.93,1079.17,1092.04
6/17/2010,0.4245,0.2689,0.3066,1,1117.72,1106.38,1114.61
6/10/2010,0.3448,0.2241,0.431,1,1083.05,1058.77,1055.69
6/3/2010,0.3709,0.2207,0.4085,1,1105.67,1098.82,1098.38
5/27/2010,0.2983,0.193,0.5088,1,1089.6,1074.27,1067.95
5/20/2010,0.413,0.25,0.337,1,1107.34,1088.33,1115.05
5/13/2010,0.366,0.268,0.366,1,1170.61,1164.48,1171.67
5/6/2010,0.3913,0.323,0.2857,1,1166.65,1161.74,1165.87
4/29/2010,0.4136,0.3,0.2864,1,1202.59,1193.3,1191.36
4/22/2010,0.3812,0.2762,0.3425,1,1202.52,1190.19,1205.94
4/15/2010,0.4848,0.2182,0.297,1,1210.77,1208.64,1210.65
4/8/2010,0.4286,0.2679,0.3036,1,1181.75,1175.12,1182.45
4/1/2010,0.413,0.2754,0.3116,1,1181.43,1171.23,1169.43
3/25/2010,0.3239,0.3295,0.3466,1,1176.71,1170.03,1167.72
3/18/2010,0.3537,0.3476,0.2988,1,1167.77,1165.07,1166.21
3/11/2010,0.4529,0.2941,0.2529,1,1143.96,1139.99,1145.61
3/4/2010,0.3586,0.3793,0.2621,1,1121.67,1119.12,1118.79
2/25/2010,0.3489,0.3557,0.2953,1,1106.42,1106.42,1094.6
2/18/2010,0.3585,0.2893,0.3522,1,1102.4,1097.48,1099.51
2/11/2010,0.3675,0.2137,0.4188,1,1069.05,1060.59,1068.13
2/4/2010,0.2923,0.2769,0.4308,1,1097.25,1074.86,1097.28
1/28/2010,0.35,0.2833,0.3667,1,1100.22,1092.63,1097.5
1/21/2010,0.4,0.2526,0.3474,1,1141.58,1136.52,1138.04
1/14/2010,0.4744,0.2564,0.2692,1,1147.93,1143.8,1145.68
1/7/2010,0.41,0.33,0.26,1,1136.27,1131.32,1137.14
12/31/2009,0.4918,0.2787,0.2295,1,1129.43,1116.56,1115.1
12/24/2009,0.3768,0.2464,0.3768,1,1130.38,1126.17,1127.78
12/17/2009,0.4211,0.2947,0.2842,1,1106.36,1098.16,1109.18
12/10/2009,0.4268,0.2195,0.3537,1,1106.25,1098.69,1095.95
12/3/2009,0.4158,0.2475,0.3366,1,1117.28,1109.24,1109.24
11/26/2009,0.4166,0.1666,0.4166,1,1105.47,1083.74,1110.63
11/19/2009,0.4273,0.2545,0.3182,1,1106.44,1089.84,1109.8
11/12/2009,0.386,0.228,0.386,1,1105.37,1063.21,1098.51
11/5/2009,0.2222,0.2222,0.5556,1,1060.98,1047.3,1046.5
10/29/2009,0.3365,0.2404,0.4231,1,1056.01,1043.69,1042.63
10/22/2009,0.4048,0.2381,0.3571,1,1101.36,1080.77,1081.4
10/15/2009,0.473,0.1892,0.3378,1,1090.89,1086.88,1092.02
10/8/2009,0.3509,0.2368,0.4123,1,1066.86,1060.03,1057.58
10/1/2009,0.4355,0.2097,0.3548,1,1054.91,1043.65,1057.08
9/24/2009,0.3909,0.1636,0.4455,1,1066.29,1051.04,1060.87
9/17/2009,0.4214,0.1786,0.4,1,1074.77,1066.93,1068.76
9/10/2009,0.3733,0.1867,0.44,1,1033.94,1028.04,1033.37
9/3/2009,0.3797,0.2405,0.3797,1,1001.46,996.12,994.75
8/27/2009,0.3398,0.1748,0.4854,1,1027.81,1016.83,1028.12
8/20/2009,0.3407,0.2593,0.4,1,1004.08,996.39,996.46
8/13/2009,0.51,0.16,0.33,1,1009.54,1000.82,1005.81
8/6/2009,0.5,0.1484,0.3516,1,1008,997.59,1002.72
7/30/2009,0.4767,0.2093,0.314,1,994.95,976.01,975.15
7/23/2009,0.376,0.2,0.424,1,962.37,953.27,954.07
7/16/2009,0.2868,0.2426,0.4706,1,934.31,928.04,932.68
7/9/2009,0.2791,0.1744,0.5465,1,886.01,879.35,879.56
7/2/2009,0.3784,0.1757,0.4459,1,921.24,903.22,923.33
6/25/2009,0.28,0.232,0.488,1,908.84,896.27,900.94
6/18/2009,0.3333,0.2024,0.4643,1,914.05,907.94,910.71
6/11/2009,0.3925,0.215,0.3925,1,950.13,939.04,939.15
6/4/2009,0.4756,0.1585,0.3659,1,936.22,931.29,931.76
5/28/2009,0.4037,0.1101,0.4862,1,903.06,887.6,893.06
5/21/2009,0.3372,0.2093,0.4535,1,900.42,884.06,903.47
5/14/2009,0.4381,0.2095,0.3524,1,890.1,882.52,883.92
5/7/2009,0.4409,0.2258,0.3333,1,929.58,919.58,919.53
4/30/2009,0.3609,0.203,0.4361,1,887.47,876.59,873.64
4/23/2009,0.3182,0.2955,0.3864,1,848.22,835.45,843.55
4/16/2009,0.4414,0.2,0.3586,1,852.93,835.58,841.5
4/9/2009,0.3571,0.2,0.4429,1,850.8,829.29,825.16
4/2/2009,0.4266,0.2028,0.3706,1,835.91,814.53,811.08
3/26/2009,0.3913,0.1848,0.4239,1,826.76,814.06,813.88
3/19/2009,0.4506,0.1667,0.3827,1,803.24,788.87,794.35
3/12/2009,0.2764,0.1789,0.5447,1,727.47,714.76,721.36
3/5/2009,0.1892,0.1081,0.7027,1,708.27,696.27,712.87
2/26/2009,0.243,0.2056,0.5514,1,779.42,765.76,764.9
2/19/2009,0.2164,0.2164,0.5672,1,797.58,787.91,788.42
2/12/2009,0.3291,0.2785,0.3924,1,829.91,811.35,833.74
2/5/2009,0.2463,0.3134,0.4403,1,832.63,819.91,832.23
1/29/2009,0.2527,0.2747,0.4725,1,868.89,854.37,874.09
1/22/2009,0.2721,0.2647,0.4632,1,839.74,816.69,840.24
1/15/2009,0.2763,0.25,0.4737,1,842.05,825.53,842.62
1/8/2009,0.487,0.1623,0.3506,1,907.64,896.81,906.65
1/1/2009,0.24,0.2133,0.5467,1,934.73,899.35,903.25
12/25/2008,0.2895,0.2719,0.4386,1,873.7,868.5,872.8
12/18/2008,0.3973,0.2466,0.3562,1,910.01,900.1,904.42
12/11/2008,0.375,0.2266,0.3984,1,899.95,885.94,899.24
